Title,Author,Publication Year,Author's Sex
Granny's Wondeful Chair,"Browne, Frances",1857,F
The Rambles of a Rat,"Tucker, Charlotte Maria (A. L. O. E.)",1857,F
Mrs. Overtheways Remembrances,"Ewing, Juliana Horatia",1869,F
A Dog of Flanders,"de la Ramée, Marie Louise (Ouida)",1872,F
The Cuckoo Clock,"Molesworth, Mary Louisa",1877,F
Black Beauty,"Sewell, Anna",1877,F
Little Lord Fauntleroy,"Hodgson Burnett, Frances",1886,F
The Secret Garden,"Hodgson Burnett, Frances",1911,F
The Story of the Treasure Seekers,"Nesbit, Edith",1899,F
Tom Brown's School Days,"Hughes, Thomas",1857,M
Alice's Adventures in Wonderland,"Carrol, Lewis",1865,M
David Copperfield,"Dickens, Charles",1869,M
At the Back of the North Wind,"MacDonald, George",1971,M
Treasure Island,"Stevenson, Robert Louis ",1883,M
The Happy Prince and Other Tales,"Wilde, Oscar",1888,M
The Jungle Book,"Kipling, Rudyard",1894,M
The Little Lame Prince and his Traveling Cloack,"Craik, Dinah Maria Mulock",1875,F
The Adventures of a Brownie,"Craik, Dinah Maria Mulock",1872,F
Jan of the Windmill,"Ewing, Juliana Horatia",1876,F
"Jackanapes, Daddy Darwin's Dovecot and Other Stories","Ewing, Juliana Horatia",1879,F
The Brownies and Other Tales,"Ewing, Juliana Horatia",1870,F
Brothers of Pity and Other Tales of Beasts and Men,"Ewing, Juliana Horatia",1882,F
Melchior's Dream and Other Tales,"Ewing, Juliana Horatia",1862,F
A Great Emergency and Other Tales,"Ewing, Juliana Horatia",1877,F
Six to Sixteen: A Story for Girls,"Ewing, Juliana Horatia",1876,F
A Flat Iron for a Farthing; or Some Passages in the Life of an only Son,"Ewing, Juliana Horatia",1873,F
The Land of Lost Toys,"Ewing, Juliana Horatia",1869,F
Snap-Dragons; Old Father Christmas,"Ewing, Juliana Horatia",1888,F
St. Winifred's; or The World of School,"Farrar, Frederick William",1862,M
